datetime,steps,distance_m,calories,speed,date,day_of_week
2023-01-08 09:46:00.699,4.6455197,110.719986,oKa26H1Zgm,1944.6901,2023-01-08,Sunday
2023-01-08 09:46:00.699,3.166667,147.08998,oKa26H1Zgm,2595.79,2023-01-08,Sunday
2023-01-08 09:46:00.699,5.5555544,73.689995,oKa26H1Zgm,1250.09,2023-01-08,Sunday
2023-01-08 09:46:00.700,2.9374986,501.1502,oKa26H1Zgm,7491.32,2023-01-08,Sunday
2023-01-08 09:46:00.700,6.9444447,243.65997,oKa26H1Zgm,4408.19,2023-01-08,Sunday
2023-01-08 09:46:00.700,5.416875,567.24,oKa26H1Zgm,8547.92,2023-01-08,Sunday
2023-01-08 09:46:00.701,4.6227345,244.02995,oKa26H1Zgm,4420.2,2023-01-08,Sunday
2023-01-08 09:46:00.701,3.7999978,415.13992,oKa26H1Zgm,7290.25,2023-01-08,Sunday
2023-01-08 09:46:00.701,3.583333,155.48997,oKa26H1Zgm,2837.15,2023-01-08,Sunday
2023-01-08 09:46:00.702,6.6944447,104.2,oKa26H1Zgm,1855.86,2023-01-08,Sunday
2023-01-08 09:46:00.702,4.638889,225.07996,oKa26H1Zgm,3999.44,2023-01-08,Sunday
2023-01-08 09:46:00.702,5.950968,293.53995,oKa26H1Zgm,5086.9204,2023-01-08,Sunday
2023-01-08 09:46:00.703,3.9222543,157.06999,oKa26H1Zgm,2788.42,2023-01-08,Sunday
2023-01-08 09:46:00.703,5.333333,95.52,oKa26H1Zgm,1716.97,2023-01-08,Sunday
2023-01-08 09:46:00.703,3.25,204.21999,oKa26H1Zgm,3580.68,2023-01-08,Sunday
2023-01-08 09:46:00.704,4.2082305,147.4,oKa26H1Zgm,2387.99,2023-01-08,Sunday
2023-01-08 09:46:00.704,6.9444447,189.43997,oKa26H1Zgm,3434.33,2023-01-08,Sunday
2023-01-08 09:46:00.704,6.6944447,283.81995,oKa26H1Zgm,5138.3696,2023-01-08,Sunday
2023-01-08 09:46:00.706,6.8122005,308.33994,oKa26H1Zgm,5506.25,2023-01-08,Sunday
2023-01-08 09:46:00.706,4.4482193,300.79996,oKa26H1Zgm,5327.03,2023-01-08,Sunday
2023-01-08 09:46:00.707,5.8962846,215.88997,oKa26H1Zgm,3811.01,2023-01-08,Sunday
2023-01-08 09:46:00.707,4.3055553,294.20993,oKa26H1Zgm,5142.1304,2023-01-08,Sunday
2023-01-08 09:46:00.707,6.4643273,164.70999,oKa26H1Zgm,2919.99,2023-01-08,Sunday
2023-01-08 09:46:00.707,3.1427007,377.05994,oKa26H1Zgm,6842.19,2023-01-08,Sunday
2023-01-08 09:46:00.708,6.9444447,99.96998,oKa26H1Zgm,1748.34,2023-01-08,Sunday
2023-01-08 09:46:00.708,6.9444447,57.249996,oKa26H1Zgm,972.93,2023-01-08,Sunday
2023-01-08 09:46:00.708,3.417805,147.34,oKa26H1Zgm,2555.3,2023-01-08,Sunday
2023-01-08 09:46:00.709,3.361111,255.15,oKa26H1Zgm,4615.11,2023-01-08,Sunday
2023-01-08 09:46:00.709,3.0220764,184.60999,oKa26H1Zgm,3173.53,2023-01-08,Sunday
2023-01-08 09:46:00.709,3.166667,156.15,oKa26H1Zgm,2709.8298,2023-01-08,Sunday
2023-01-08 09:46:00.709,2.9166667,247.68996,oKa26H1Zgm,4518.6997,2023-01-08,Sunday
2023-01-08 09:46:00.710,3.573937,245.68996,oKa26H1Zgm,4342.73,2023-01-08,Sunday
2023-01-08 09:46:00.710,3.2777781,222.66997,oKa26H1Zgm,3915.77,2023-01-08,Sunday
2023-01-08 09:46:00.711,3.0564048,356.11993,oKa26H1Zgm,6387.2905,2023-01-08,Sunday
2023-01-08 09:46:00.711,5.4166665,84.86,oKa26H1Zgm,1371.77,2023-01-08,Sunday
2023-01-08 09:46:00.711,3.25,385.8699,oKa26H1Zgm,7036.94,2023-01-08,Sunday
2023-01-08 09:46:00.711,4.665386,407.91992,oKa26H1Zgm,7351.91,2023-01-08,Sunday
2023-01-08 09:46:00.711,3.6025925,305.36,oKa26H1Zgm,5429.08,2023-01-08,Sunday
2023-01-08 09:46:00.712,4.182211,360.17993,oKa26H1Zgm,6533.42,2023-01-08,Sunday
2023-01-08 09:46:00.712,6.9444447,341.78995,oKa26H1Zgm,6010.3696,2023-01-08,Sunday
2023-01-08 09:46:00.712,4.008003,163.87999,oKa26H1Zgm,2913.97,2023-01-08,Sunday
2023-01-08 09:46:00.712,4.5555553,105.549995,oKa26H1Zgm,1790.28,2023-01-08,Sunday
2023-01-08 09:46:00.713,6.9444447,258.30997,oKa26H1Zgm,4580.61,2023-01-08,Sunday
2023-01-08 09:46:00.714,3.6944444,55.48,oKa26H1Zgm,942.34,2023-01-08,Sunday
2023-01-08 09:46:00.714,6.9444447,260.43,oKa26H1Zgm,4629.6797,2023-01-08,Sunday
2023-01-08 09:46:00.715,3.8888886,131.01999,oKa26H1Zgm,2377.2,2023-01-08,Sunday
2023-01-08 09:46:00.715,5.8333335,71.09,oKa26H1Zgm,1242.34,2023-01-08,Sunday
2023-01-08 09:46:00.716,6.9444447,95.06,oKa26H1Zgm,1684.76,2023-01-08,Sunday
2023-01-08 09:46:00.716,3.2777781,114.329994,oKa26H1Zgm,1901.3,2023-01-08,Sunday
2023-01-08 09:46:00.717,4.474946,76.14,oKa26H1Zgm,1288.33,2023-01-08,Sunday
2023-01-08 09:46:00.717,2.533085,56.209995,oKa26H1Zgm,965.1,2023-01-08,Sunday
2023-01-08 09:46:00.718,3.6944444,102.13,oKa26H1Zgm,1840.74,2023-01-08,Sunday
2023-01-08 09:46:00.718,2.8723032,265.2799,oKa26H1Zgm,4762.1914,2023-01-08,Sunday
2023-01-08 09:46:00.718,3.6666672,183.29999,oKa26H1Zgm,3269.41,2023-01-08,Sunday
2023-01-08 09:46:00.719,6.9444447,179.05998,oKa26H1Zgm,3117.87,2023-01-08,Sunday
2023-01-08 09:46:00.719,3.4166667,409.8599,oKa26H1Zgm,6982.9414,2023-01-08,Sunday
2023-01-08 09:46:00.719,5.5329976,306.10986,oKa26H1Zgm,5238.382,2023-01-08,Sunday
2023-01-08 09:46:00.719,4.1666665,276.11996,oKa26H1Zgm,5064.43,2023-01-08,Sunday
2023-01-08 09:46:00.719,2.8888888,93.22999,oKa26H1Zgm,1608.45,2023-01-08,Sunday
2023-01-08 09:46:00.720,2.9722228,406.93982,oKa26H1Zgm,7196.8516,2023-01-08,Sunday
2023-01-08 09:46:00.720,2.9985394,55.869995,oKa26H1Zgm,971.5999,2023-01-08,Sunday
2023-01-08 09:46:00.720,4.1715336,484.8599,oKa26H1Zgm,8035.72,2023-01-08,Sunday
2023-01-08 09:46:00.720,3.2777781,286.97995,oKa26H1Zgm,5090.13,2023-01-08,Sunday
2023-01-08 09:46:00.720,6.9444447,159.95999,oKa26H1Zgm,2790.8,2023-01-08,Sunday
2023-01-08 09:46:00.720,4.388889,290.83997,oKa26H1Zgm,5220.4497,2023-01-08,Sunday
2023-01-08 09:46:00.721,4.349796,211.93997,oKa26H1Zgm,3721.6304,2023-01-08,Sunday
2023-01-08 09:46:00.721,3.0,419.81998,oKa26H1Zgm,7278.8203,2023-01-08,Sunday
2023-01-08 09:46:00.721,3.6909885,81.29999,oKa26H1Zgm,1432.85,2023-01-08,Sunday
2023-01-08 09:46:00.721,3.2176666,728.75995,oKa26H1Zgm,10100.2295,2023-01-08,Sunday
2023-01-08 09:46:00.722,6.6944447,141.94998,oKa26H1Zgm,2496.52,2023-01-08,Sunday
2023-01-08 09:46:00.722,3.5608718,424.57996,oKa26H1Zgm,7006.88,2023-01-08,Sunday
2023-01-08 09:46:00.722,6.9444447,231.77998,oKa26H1Zgm,4238.98,2023-01-08,Sunday
2023-01-08 09:46:00.722,6.9444447,635.12994,oKa26H1Zgm,8644.9,2023-01-08,Sunday
2023-01-08 09:46:00.722,6.9444447,101.02999,oKa26H1Zgm,1813.83,2023-01-08,Sunday
2023-01-08 09:46:00.723,5.18535,72.85,oKa26H1Zgm,1209.69,2023-01-08,Sunday
2023-01-08 09:46:00.723,3.9895804,405.79996,oKa26H1Zgm,7140.0,2023-01-08,Sunday
2023-01-08 09:46:00.723,5.026524,274.72998,oKa26H1Zgm,4985.41,2023-01-08,Sunday
2023-01-08 09:46:00.723,4.611111,331.33,oKa26H1Zgm,5785.89,2023-01-08,Sunday
2023-01-08 09:46:00.723,6.0833335,573.26996,oKa26H1Zgm,8203.28,2023-01-08,Sunday
2023-01-08 09:46:00.723,4.2500005,104.31,oKa26H1Zgm,1775.57,2023-01-08,Sunday
2023-01-08 09:46:00.724,6.9444447,491.98987,oKa26H1Zgm,8683.921,2023-01-08,Sunday
2023-01-08 09:46:00.724,4.0557156,298.96997,oKa26H1Zgm,5345.9297,2023-01-08,Sunday
2023-01-08 09:46:00.724,3.7938895,222.71999,oKa26H1Zgm,3915.3,2023-01-08,Sunday
2023-01-08 09:46:00.724,3.9722216,736.43994,oKa26H1Zgm,9590.29,2023-01-08,Sunday
2023-01-08 09:46:00.724,6.9444447,73.81999,oKa26H1Zgm,1293.76,2023-01-08,Sunday
2023-01-08 09:46:00.725,4.725977,165.55998,oKa26H1Zgm,2890.72,2023-01-08,Sunday
2023-01-08 09:46:00.725,5.333333,376.1999,oKa26H1Zgm,6433.4717,2023-01-08,Sunday
2023-01-08 09:46:00.725,6.9444447,319.73996,oKa26H1Zgm,5614.41,2023-01-08,Sunday
2023-01-08 09:46:00.725,6.9444447,175.43999,oKa26H1Zgm,3098.05,2023-01-08,Sunday
2023-01-08 09:46:00.725,3.1126666,490.69998,oKa26H1Zgm,6508.08,2023-01-08,Sunday
2023-01-08 09:46:00.725,2.2482443,91.649994,oKa26H1Zgm,1666.5,2023-01-08,Sunday
2023-01-08 09:46:00.726,4.8333344,136.55998,oKa26H1Zgm,2408.06,2023-01-08,Sunday
2023-01-08 09:46:00.726,3.1388888,126.70999,oKa26H1Zgm,2209.49,2023-01-08,Sunday
2023-01-08 09:46:00.726,4.4166665,309.18997,oKa26H1Zgm,4826.75,2023-01-08,Sunday
